,Unnamed: 0,content,final_text,token,stop_review,stem_review,prepos_text,polarity_score,polarity
42,47, jokowi kayak org bener aja dia tahu persis dan ppn  ini adlh ulah dia  masa kekuasaannya ulah dia akibat buruknya tata kelola keuangan negara  membabi buta demi memenuhi obsesi ngawurnya semata ,jokowi kayak orang benar saja dia tahu persis dan ppn ini adalah ulah dia masa kekuasaannya ulah dia akibat buruknya tata kelola keuangan negara membabi buta demi memenuhi obsesi ngawurnya semata,"['jokowi', 'kayak', 'orang', 'persis', 'ppn', 'ulah', 'kekuasaannya', 'ulah', 'akibat', 'buruknya', 'tata', 'kelola', 'keuangan', 'negara', 'membabi', 'buta', 'memenuhi', 'obsesi', 'ngawurnya']","['jokowi', 'kayak', 'orang', 'persis', 'ppn', 'ulah', 'kekuasaannya', 'ulah', 'akibat', 'buruknya', 'tata', 'kelola', 'keuangan', 'negara', 'membabi', 'buta', 'memenuhi', 'obsesi', 'ngawurnya']",jokowi kayak orang persis ppn ulah kuasa ulah akibat buruk tata kelola uang negara babi buta penuh obsesi ngawurnya,"['jokowi', 'kayak', 'orang', 'persis', 'ppn', 'ulah', 'kuasa', 'ulah', 'akibat', 'buruk', 'tata', 'kelola', 'uang', 'negara', 'babi', 'buta', 'penuh', 'obsesi', 'ngawurnya']",-20,0
43,49, kendurenan biar penetapan ppn  lancar,kendurenan biar penetapan ppn lancar,"['kendurenan', 'biar', 'penetapan', 'ppn', 'lancar']","['kendurenan', 'biar', 'penetapan', 'ppn', 'lancar']",kendurenan biar tetap ppn lancar,"['kendurenan', 'biar', 'tetap', 'ppn', 'lancar']",3,1
44,50, dengan ppn  kualitas layanan publik dapat lebih ditingkatkan ,dengan ppn kualitas layanan publik dapat lebih ditingkatkan,"['ppn', 'kualitas', 'layanan', 'publik', 'ditingkatkan']","['ppn', 'kualitas', 'layanan', 'publik', 'ditingkatkan']",ppn kualitas layan publik tingkat,"['ppn', 'kualitas', 'layan', 'publik', 'tingkat']",5,1
45,51, ppn  untuk memastikan perlindungan sosial yang lebih baik ,ppn untuk memastikan perlindungan sosial yang lebih baik,"['ppn', 'perlindungan', 'sosial']","['ppn', 'perlindungan', 'sosial']",ppn lindung sosial,"['ppn', 'lindung', 'sosial']",8,1
46,53, ppn  membantu menciptakan lapangan kerja berkualitas ,ppn membantu menciptakan lapangan kerja berkualitas,"['ppn', 'membantu', 'menciptakan', 'lapangan', 'kerja', 'berkualitas']","['ppn', 'membantu', 'menciptakan', 'lapangan', 'kerja', 'berkualitas']",ppn bantu cipta lapang kerja kualitas,"['ppn', 'bantu', 'cipta', 'lapang', 'kerja', 'kualitas']",8,1
47,54, kenaikan ppn  untuk pembiayaan pendidikan yang lebih baik ,kenaikan ppn untuk pembiayaan pendidikan yang lebih baik,"['kenaikan', 'ppn', 'pembiayaan', 'pendidikan']","['kenaikan', 'ppn', 'pembiayaan', 'pendidikan']",naik ppn biaya didik,"['naik', 'ppn', 'biaya', 'didik']",1,1
48,55,orang kenapa terima aja jelas  palak tapi marketingnya ppn  ,orang kenapa terima saja jelas palak tapi marketingnya ppn,"['orang', 'terima', 'palak', 'marketingnya', 'ppn']","['orang', 'terima', 'palak', 'marketingnya', 'ppn']",orang terima palak marketingnya ppn,"['orang', 'terima', 'palak', 'marketingnya', 'ppn']",2,1
49,56, kabar gembira tiket kereta tidak dikenakan ppn  bahkan perusahaan negara aja tau kalau kenaikan ppn bukan kabar gembira,kabar gembira tiket kereta tidak dikenakan ppn bahkan perusahaan negara saja tahu kalau kenaikan ppn bukan kabar gembira,"['kabar', 'gembira', 'tiket', 'kereta', 'dikenakan', 'ppn', 'perusahaan', 'negara', 'kenaikan', 'ppn', 'kabar', 'gembira']","['kabar', 'gembira', 'tiket', 'kereta', 'dikenakan', 'ppn', 'perusahaan', 'negara', 'kenaikan', 'ppn', 'kabar', 'gembira']",kabar gembira tiket kereta kena ppn usaha negara naik ppn kabar gembira,"['kabar', 'gembira', 'tiket', 'kereta', 'kena', 'ppn', 'usaha', 'negara', 'naik', 'ppn', 'kabar', 'gembira']",-7,0
50,57,semalem fanza ngajak ngomong serius sampe jam  pagi intinya gara  mulai buldep ppn  kita lebih menekan untuk  sering ketemu dulu karena lebih mau prioritasin nabung untuk masa depan nanti jjr belum bisa ikhlas tapi mau gimana lagi gini bgt couple ldr  jadi batunya ,semalem fanza mengajak bicara serius sampai jam pagi intinya gara mulai buldep ppn kita lebih menekan untuk sering ketemu dahulu karena lebih mau prioritasin nabung untuk masa depan nanti jjr belum bisa ikhlas tapi mau bagaimana lagi begini banget couple ldr jadi batunya,"['semalem', 'fanza', 'mengajak', 'bicara', 'serius', 'jam', 'pagi', 'intinya', 'gara', 'buldep', 'ppn', 'menekan', 'ketemu', 'prioritasin', 'nabung', 'jjr', 'ikhlas', 'banget', 'couple', 'ldr', 'batunya']","['semalem', 'fanza', 'mengajak', 'bicara', 'serius', 'jam', 'pagi', 'intinya', 'gara', 'buldep', 'ppn', 'menekan', 'ketemu', 'prioritasin', 'nabung', 'jjr', 'ikhlas', 'banget', 'couple', 'ldr', 'batunya']",semalem fanza ajak bicara serius jam pagi inti gara buldep ppn tekan ketemu prioritasin nabung jjr ikhlas banget couple ldr batu,"['semalem', 'fanza', 'ajak', 'bicara', 'serius', 'jam', 'pagi', 'inti', 'gara', 'buldep', 'ppn', 'tekan', 'ketemu', 'prioritasin', 'nabung', 'jjr', 'ikhlas', 'banget', 'couple', 'ldr', 'batu']",-6,0
51,58, ppn  untuk membangun ketahanan ekonomi ,ppn untuk membangun ketahanan ekonomi,"['ppn', 'membangun', 'ketahanan', 'ekonomi']","['ppn', 'membangun', 'ketahanan', 'ekonomi']",ppn bangun tahan ekonomi,"['ppn', 'bangun', 'tahan', 'ekonomi']",-1,0
52,59,yaila asumsi hpp yang dianggap sama before  after ppn  aja udah pasti  tepat  apple  apple emangnya biaya raw material packaging material nya  naik fmcg manufacturer aja mau adjust hpp karena margin bakal kegerus sama ppn  ,yaila asumsi hpp yang dianggap sama before after ppn saja sudah pasti tepat apple apple memangnya biaya raw material packaging material nya naik fmcg manufacturer saja mau adjust hpp karena margin bakal kegerus sama ppn,"['yaila', 'asumsi', 'hpp', 'dianggap', 'before', 'after', 'ppn', 'apple', 'apple', 'memangnya', 'biaya', 'raw', 'material', 'packaging', 'material', 'nya', 'fmcg', 'manufacturer', 'adjust', 'hpp', 'margin', 'kegerus', 'ppn']","['yaila', 'asumsi', 'hpp', 'dianggap', 'before', 'after', 'ppn', 'apple', 'apple', 'memangnya', 'biaya', 'raw', 'material', 'packaging', 'material', 'nya', 'fmcg', 'manufacturer', 'adjust', 'hpp', 'margin', 'kegerus', 'ppn']",yaila asumsi hpp anggap before after ppn apple apple memang biaya raw material packaging material nya fmcg manufacturer adjust hpp margin gerus ppn,"['yaila', 'asumsi', 'hpp', 'anggap', 'before', 'after', 'ppn', 'apple', 'apple', 'memang', 'biaya', 'raw', 'material', 'packaging', 'material', 'nya', 'fmcg', 'manufacturer', 'adjust', 'hpp', 'margin', 'gerus', 'ppn']",-1,0
53,60, stress ppn  ,stress ppn,"['stress', 'ppn']","['stress', 'ppn']",stress ppn,"['stress', 'ppn']",-5,0
54,61,kita harus sadarkan masyarakat tentang bahaya ppn  ,kita harus sadarkan masyarakat tentang bahaya ppn,"['sadarkan', 'masyarakat', 'bahaya', 'ppn']","['sadarkan', 'masyarakat', 'bahaya', 'ppn']",sadar masyarakat bahaya ppn,"['sadar', 'masyarakat', 'bahaya', 'ppn']",-4,0
55,62, kata prabowo mah cuekin aja  nyinyir kenaikan ppn  ,kata prabowo mah cuekin saja nyinyir kenaikan ppn,"['prabowo', 'mah', 'cuekin', 'nyinyir', 'kenaikan', 'ppn']","['prabowo', 'mah', 'cuekin', 'nyinyir', 'kenaikan', 'ppn']",prabowo mah cuekin nyinyir naik ppn,"['prabowo', 'mah', 'cuekin', 'nyinyir', 'naik', 'ppn']",-6,0
56,63, ppn  untuk membiayai proyek berkelanjutan ,ppn untuk membiayai proyek berkelanjutan,"['ppn', 'membiayai', 'proyek', 'berkelanjutan']","['ppn', 'membiayai', 'proyek', 'berkelanjutan']",ppn biaya proyek lanjut,"['ppn', 'biaya', 'proyek', 'lanjut']",-3,0
57,64, metode transportasi logistik  dipikiran kaum   ketika ngoceh ppn  diterapkan cuma utk barang mewah ajaa bahan pokok nggak tuh ,metode transportasi logistik dipikiran kaum ketika ngoceh ppn diterapkan cuma untuk barang mewah ajaa bahan pokok tidak tuh,"['metode', 'transportasi', 'logistik', 'dipikiran', 'kaum', 'ngoceh', 'ppn', 'diterapkan', 'barang', 'mewah', 'ajaa', 'bahan', 'pokok', 'tuh']","['metode', 'transportasi', 'logistik', 'dipikiran', 'kaum', 'ngoceh', 'ppn', 'diterapkan', 'barang', 'mewah', 'ajaa', 'bahan', 'pokok', 'tuh']",metode transportasi logistik pikir kaum ngoceh ppn terap barang mewah ajaa bahan pokok tuh,"['metode', 'transportasi', 'logistik', 'pikir', 'kaum', 'ngoceh', 'ppn', 'terap', 'barang', 'mewah', 'ajaa', 'bahan', 'pokok', 'tuh']",-9,0
58,66, tiketnya gak ngaruh ppn tapi kalo beli makan  dalem keretanya tetep kena ppn  kan ,tiketnya tidak ngaruh ppn tapi kalau beli makan dalam keretanya tetap kena ppn akan,"['tiketnya', 'ngaruh', 'ppn', 'beli', 'makan', 'keretanya', 'kena', 'ppn']","['tiketnya', 'ngaruh', 'ppn', 'beli', 'makan', 'keretanya', 'kena', 'ppn']",tiket ngaruh ppn beli makan kereta kena ppn,"['tiket', 'ngaruh', 'ppn', 'beli', 'makan', 'kereta', 'kena', 'ppn']",-8,0
59,67, ppn  mendukung program pemerintah untuk rakyat ,ppn mendukung program pemerintah untuk rakyat,"['ppn', 'mendukung', 'program', 'pemerintah', 'rakyat']","['ppn', 'mendukung', 'program', 'pemerintah', 'rakyat']",ppn dukung program perintah rakyat,"['ppn', 'dukung', 'program', 'perintah', 'rakyat']",4,1
